 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
221,1933.333,255,255,255,0.587,1.130,0.885,0.933
222,1128.472,255,255,255,0.623,1.141,0.877,0.910
223,2202.778,255,255,255,0.639,1.114,0.898,0.942
224,1988.194,255,255,255,0.632,1.266,0.790,0.944
225,944.444,255,255,255,0.662,1.316,0.760,0.929
226,1693.750,255,255,255,0.594,1.144,0.874,0.936
227,1484.028,255,255,255,0.591,1.185,0.844,0.931
228,1109.028,255,255,255,0.618,1.103,0.907,0.910
229,1143.750,255,255,255,0.651,1.251,0.799,0.939
230,1.389,255,255,255,1.000,2.000,0.500,1.000
231,1377.083,255,255,255,0.717,1.150,0.870,0.929
232,1010.417,255,255,255,0.631,1.427,0.701,0.917
233,2.778,255,255,255,0.611,3.093,0.323,0.667
234,4309.722,255,255,255,0.487,1.253,0.798,0.918
235,1743.056,255,255,255,0.544,1.083,0.924,0.921
236,1.389,255,255,255,1.000,2.000,0.500,1.000
237,1965.972,255,255,255,0.648,1.114,0.898,0.930
238,1.389,255,255,255,1.000,2.000,0.500,1.000
239,1.389,255,255,255,1.000,2.000,0.500,1.000
240,2.778,255,255,255,0.740,4.000,0.250,1.000
241,1438.194,255,255,255,0.625,1.113,0.899,0.923
242,1500.694,255,255,255,0.559,1.261,0.793,0.910
243,1936.806,255,255,255,0.581,1.307,0.765,0.933
244,1218.750,255,255,255,0.551,1.196,0.836,0.926
245,7885.417,255,255,255,0.479,1.144,0.874,0.903
246,4486.111,255,255,255,0.547,1.386,0.721,0.876
247,2381.250,255,255,255,0.724,1.136,0.880,0.947
248,2213.889,255,255,255,0.648,1.199,0.834,0.944
249,692.361,255,255,255,0.607,1.158,0.864,0.917
250,2634.028,255,255,255,0.639,1.180,0.847,0.948
251,913.194,255,255,255,0.635,1.215,0.823,0.920
252,1490.278,255,255,255,0.585,1.458,0.686,0.918
253,2.778,255,255,255,1.000,1.000,1.000,1.000
254,1.389,255,255,255,1.000,2.000,0.500,1.000
255,3544.444,255,255,255,0.608,1.084,0.922,0.944
256,4014.583,255,255,255,0.483,1.141,0.876,0.939
257,1.389,255,255,255,1.000,2.000,0.500,1.000
258,1.389,255,255,255,1.000,2.000,0.500,1.000
259,1.389,255,255,255,1.000,2.000,0.500,1.000
260,379.861,255,255,255,0.586,1.147,0.872,0.875
261,1.389,255,255,255,1.000,2.000,0.500,1.000
262,2031.250,255,255,255,0.612,1.285,0.778,0.926
263,2410.417,255,255,255,0.701,1.202,0.832,0.939
264,1536.111,255,255,255,0.570,1.332,0.751,0.939
265,2706.944,255,255,255,0.626,1.240,0.806,0.935
266,1660.417,255,255,255,0.514,1.123,0.890,0.924
267,806.944,255,255,255,0.532,1.141,0.877,0.886
268,3518.056,255,255,255,0.472,1.192,0.839,0.934
269,5.556,255,255,255,0.479,2.572,0.389,0.615
270,1.389,255,255,255,1.000,2.000,0.500,1.000
271,1.389,255,255,255,1.000,2.000,0.500,1.000
272,1122.917,255,255,255,0.579,1.236,0.809,0.895
273,2304.861,255,255,255,0.681,1.361,0.735,0.958
274,7402.083,255,255,255,0.441,1.330,0.752,0.905
275,2093.056,255,255,255,0.608,1.107,0.904,0.923
276,982.639,255,255,255,0.687,1.264,0.791,0.916
277,830.556,255,255,255,0.638,1.136,0.880,0.889
278,1.389,255,255,255,1.000,2.000,0.500,1.000
279,2056.250,255,255,255,0.684,1.176,0.850,0.932
280,3147.917,255,255,255,0.594,1.471,0.680,0.917
281,1.389,255,255,255,1.000,2.000,0.500,1.000
282,3552.083,255,255,255,0.685,1.198,0.835,0.949
283,3550.000,255,255,255,0.693,1.078,0.927,0.952
284,1.389,255,255,255,1.000,2.000,0.500,1.000
285,2701.389,255,255,255,0.636,1.098,0.911,0.939
286,1979.167,255,255,255,0.622,1.293,0.774,0.940
287,2722.917,255,255,255,0.590,1.195,0.837,0.931
288,2319.444,255,255,255,0.552,1.210,0.827,0.934
289,1736.111,255,255,255,0.611,1.229,0.814,0.927
290,1.389,255,255,255,1.000,2.000,0.500,1.000
291,2116.667,255,255,255,0.514,1.176,0.850,0.918
292,1456.944,255,255,255,0.584,1.589,0.629,0.903
